X1;X2;Y
-6.58;2.78;A
-9.6;6.38;A
-5.3;5.73;A
-7.73;5.2;A
-5.36;3.62;A
-5.71;3.45;A
-9.83;4.42;A
-8.28;2.27;A
-10.21;2.53;A
-9.02;6.66;A
-6.72;4.94;A
-7.86;4.17;A
-4.21;8.2;A
-6.01;4.05;A
-9.42;2.35;A
-7.5;3.75;A
-6.74;6.66;A
-7.27;6.65;A
-8.79;5.28;A
-8.44;7.12;A
-7.1;4.1;A
-8.61;4.4;A
-6.44;4.36;A
-7.39;5.73;A
-8.71;8.09;A
-8.84;2.82;A
-6.8;7.43;A
-5.54;5.19;A
-7.89;4.5;A
-5.97;4.41;A
-7.69;6.16;A
-7.12;5.49;A
-9.82;3.4;A
-6.29;6.61;A
-8.73;5.06;A
-9.14;6.78;A
-9.3;3.08;A
-6.8;6.67;A
-7.21;7.38;A
-1.98;5.45;A
-8.7;4;A
-8.61;3.67;A
-7.61;6.16;A
-6.22;7.92;A
-4.52;4.6;A
-9.15;5.26;A
-6.54;3.13;A
-7.76;6.15;A
-9.74;5.86;A
-9.55;6.8;A
-9.15;4.05;A
-8.94;1.67;A
-7.42;6.37;A
-8.39;5.02;A
-8.45;6.7;A
-7.65;7.7;A
-5.24;5.68;A
-7.5;3.16;A
-5.83;4.39;A
-6.58;5.86;A
-5.16;5.1;A
-8.55;2.43;A
-8.03;4.39;A
-8.31;4.06;A
-9.16;4.18;A
-6.26;5.1;A
-7.02;4.22;A
-6.54;2.71;A
-4.96;5.18;A
-6.78;8;A
-9.68;5.17;A
-5.93;5.75;A
-10.4;5.45;A
-9.15;3.99;A
-7.02;4.48;A
-9.47;4.8;A
-6.61;2.98;A
-9.44;2.56;A
-9.13;3.75;A
-7.97;5.49;A
-7.75;4.92;A
-5.75;4.29;A
-6.49;6.48;A
-4.94;4.4;A
-7.43;5.04;A
-4.62;4.5;A
-6.83;5.75;A
-8.46;6.25;A
-6.53;6.28;A
-8.09;4.06;A
-8.64;5.72;A
-8.65;6.19;A
-7.68;3.92;A
-7.88;4.12;A
-6.06;4.41;A
-8.3;5.07;A
-7.38;3.82;A
-5;2.93;A
-7.97;6.18;A
-9.16;3.67;A
-5.26;2.01;A
-4.77;2.94;A
-6.43;2.24;A
-9.31;2.82;A
-4.17;1.3;A
-4.73;-1.25;A
-5.52;1.71;A
-7.57;-0.74;A
-8.27;1.82;A
-7.15;2.63;A
-8.69;1.89;A
-6.72;1.67;A
-7.27;1.48;A
-4.86;1.64;A
-8.47;1.1;A
-4.99;2.63;A
-5.24;1.22;A
-8.56;1.51;A
-4.94;2.83;A
-5.93;0.91;A
-6.79;1.83;A
-7.02;2.88;A
-7.21;2.44;A
-6.07;1.92;A
-7.48;3.26;A
-3.65;5.98;A
-6.37;1.31;A
-7.23;0.52;A
-8.88;1.75;A
-7.35;1.52;A
-6.95;1.64;A
-4.5;2.49;A
-5.65;1.28;A
-5.89;0.3;A
-5.61;-0.2;A
-4.57;2.51;A
-5.66;1.19;A
-6.93;0.93;A
-4.08;3.08;A
