0.04769,0.21150
0.05249,0.02238
0.10669,0.08343
0.14947,0.10921
0.18864,0.04716
0.19818,0.15651
0.19474,0.77655
0.25515,0.82269
0.29598,0.87431
0.30411,0.55413
0.30653,0.45907
0.32628,0.75334
0.33619,0.26089
0.35272,0.57992
0.35406,0.52722
0.35514,0.48490
0.35036,0.77490
0.38815,0.18069
0.39484,0.30006
0.40883,0.82095
0.41497,0.57928
0.42325,0.25324
0.41658,0.87298
0.44685,0.19197
0.43599,0.72135
0.45026,0.54245
0.48209,0.25936
0.49561,0.77316
0.53404,0.17908
0.51839,0.84615
0.61381,0.40733
0.64656,0.34307
0.69039,0.45470
0.69324,0.34266
0.71352,0.53963
0.74283,0.38067
0.74449,0.31566
0.78487,0.51228
0.80791,0.57491
0.90892,0.42614
0.95685,0.50439
