X1;Y
-9.05;-8.4
-9.42;-9.12
-9.06;-8.94
-8.55;-9.02
-8.91;-8.24
-9.06;-8.47
-9.33;-8.19
-8.61;-8.39
-9.2;-8.45
-8.38;-8.86
-8.17;-7.67
-8.11;-8.05
-7.55;-7.96
-8.13;-8.35
-8.82;-7.9
-7.79;-8.3
-8.1;-8.41
-7.83;-7.92
-8.03;-7.75
-7.75;-8.4
-7.34;-7.06
-7.25;-6.34
-7.29;-6.51
-6.83;-6.77
-7.12;-7.05
-7.63;-6.64
-7.51;-6.81
-7.51;-6.51
-7.64;-6.97
-7.48;-6.85
-5.55;-5.24
-5.56;-5.76
-6.31;-6.02
-5.85;-5.04
-6.01;-5.91
-5.29;-5.96
-5.48;-5.63
-6.47;-5.4
-5.11;-6
-5.59;-5.76
-3.66;-3.76
-3.72;-3.84
-4.04;-3.29
-3.98;-4.5
-4.03;-4.48
-3.34;-4.25
-3.68;-3.71
-3.87;-3.66
-3.53;-3.94
-3.54;-3.91
-4.32;-4.81
-4.32;-4.75
-5.18;-5.04
-4.37;-4.58
-4.55;-5.2
-4.22;-4.59
-4.07;-4.28
-4.26;-4.86
-4.3;-4.72
-4.92;-5.37
-3.04;-3.46
-2.94;-2.6
-2.8;-3.21
-3.07;-2.83
-3.07;-3.44
-2.27;-3.27
-2.66;-3.26
-2.6;-3.28
-2.94;-3.5
-3.01;-2.96
-1;-1.28
-1.4;-1.56
-0.96;-1.14
-0.94;-1.54
-1.11;-1.7
-1.1;-1.36
-1.67;-1.16
-1.29;-0.87
-1.3;-1.15
-1.18;-1.36
-0.01;0.36
0.54;0.54
0.05;-0.11
0.23;-0.56
0.19;0.12
0.25;-0.45
0.33;-0.22
0.05;-0.57
-0.36;0.02
-0.24;-0.61
-1.87;-2.4
-1.9;-2.88
-2.39;-2.2
-2.22;-2.35
-1.98;-2.36
-1.34;-1.56
-2.11;-2.8
-2.38;-2.03
-2.16;-2.64
-2.18;-2.33
1.56;1.17
1.06;1.09
0.63;1.17
1.4;0.66
1.73;1.46
1.09;1.03
1.54;1.39
1.67;0.57
1.3;0.76
1.71;1.68
1.93;3.97
2.48;3.1
2.6;3.36
2.41;3.62
2.75;3.21
2.53;3.11
2.31;3.15
2.15;3.02
2.76;3.34
2.39;3.01
-6.28;-4.74
-6.38;-5.23
-6.26;-4.7
-6.62;-4.72
-6.93;-4.8
-6.32;-5.27
-6.39;-4.57
-6.89;-4.79
-6.4;-4.93
-6.63;-4.89
-4.45;-3.11
-4.96;-3.37
-4.8;-3.13
-4.82;-3.78
-5.07;-3.65
-4.28;-3.7
-4.59;-3.84
-4.46;-3.66
-5.04;-2.76
-4.35;-2.7
-2.79;-1.74
-2.9;-1.64
-3.1;-1.64
-3.44;-1.7
-3.06;-1.55
-3.02;-1.67
-2.7;-1.49
-2.48;-1.12
-3.29;-1.7
-3.3;-1.49
-1.33;1.09
-0.81;0.75
-0.48;0.63
-0.84;0.42
-1.33;0.35
-0.95;1.13
-1.18;0.74
-0.87;0.58
-0.88;1.03
-0.53;0.37
-0.23;2.29
0.87;2.32
0.65;1.8
0.62;2.14
0.95;2.02
0.86;2.19
0.31;2.5
0.69;2.4
0.66;2.33
0.84;3.09
2.12;3.89
2.22;3.71
2.73;3.63
1.95;3.53
2.98;3.34
2.5;4.27
2.09;4.01
2.51;4.19
1.98;3.61
2.07;3.41
3.79;4.92
3.93;4.98
4.11;5.01
3.46;5.24
4.05;5.14
3.81;4.88
3.71;4.98
4.13;5
3.79;4.97
3.94;5.29
6.42;6.72
6.06;6.68
5.87;6.76
6.62;6.81
5.58;6.84
6.38;6.59
5.98;6.6
6.36;7.04
5.99;6.9
6.27;6.73
8.17;8.13
8.26;8.17
8.12;8.41
7.62;8.35
8.19;8.15
8.41;8.37
8.29;8.05
8.11;8.3
8.02;8.41
8.04;8.46
4.93;5.61
6.06;5.64
5.06;5.81
5.27;5.43
4.99;5.31
5.54;6.21
5.5;5.02
5.3;5.08
5.13;5.61
5.29;5.32
7.59;8.19
7.54;7.32
6.85;6.88
7.13;7.72
7.58;7.55
7.18;7.01
7.1;7.16
7.41;7.81
6.77;7.54
7.79;7.48
3.97;3.95
4.23;3.72
4.06;3.85
3.82;3.65
4.15;3.95
4.24;3.41
4.79;3.58
4.08;4.28
3.55;3.64
3.77;4.33
3.31;1.09
2.68;1.22
2.53;1.77
3.17;1.16
3.14;1.67
3.48;1.41
2.71;0.96
2.66;1.39
2.89;0.8
2.88;1.87
1.75;0
2.24;-0.22
1.85;0.17
2.42;-0.12
1.81;0.08
1.81;-0.14
1.51;-0.7
2.14;0.07
2.48;0.35
2.44;-0.57
-0.11;-1.67
-0.15;-1.22
-0.11;-1.73
-0.38;-1.99
0.03;-1.48
-0.19;-2.17
0.16;-1.28
0.18;-1.83
-0.37;-1.61
-0.03;-1.72
-1.63;-3.57
-1.66;-3.29
-1.33;-4.27
-1.19;-3.28
-1.69;-3.08
-1.52;-3.35
-1.76;-3.65
-2.31;-3.66
-1.67;-3.73
-1.63;-3.8
-2.77;-5.09
-3.11;-5.16
-3.25;-5.13
-3.33;-4.35
-2.75;-4.94
-2.55;-5.34
-2.55;-4.97
-3.35;-5.25
-2.91;-5.28
-2.98;-4.95
-3.51;-5.04
-3.72;-5.26
-4.03;-5.29
-3.71;-5.47
-4.46;-4.98
-4.28;-5.47
-4.21;-5.84
-3.97;-5.31
-3.88;-5.68
-3.42;-5.62
3.95;1.92
4.38;2.8
3.69;2.88
4.34;2.72
3.97;2.87
4.08;2.29
4.13;2.93
4.1;2.8
3.87;2.61
4.37;3.08
1.24;-0.11
1.16;-0.57
0.94;-0.57
0.3;-0.66
0.64;-0.37
0.63;-0.12
0.81;-0.39
0.58;-0.34
