X1;Y
-6.94;-5.17
-7.04;-4.71
-7.61;-5.46
-9.18;-4.2
-9.02;-7.75
-6.27;-4.64
-9.21;-7.13
-7.6;-4.9
-8.4;-4.68
-9.68;-4.21
-8.8;-6.06
-6.58;-4.66
-6.94;-6.35
-9.31;-2.86
-7.72;-4.9
-9.34;-4.9
-8.86;-5.31
-8.65;-4.26
-6.69;-5.57
-7.82;-5.1
-7.09;-3.09
-7.17;-4.07
-9.19;-6.58
-10.05;-5.08
-7.75;-3.78
-8.2;-5.83
-7.44;-3.8
-7.61;-5.22
-7.14;-3.56
-8.02;-5.99
-7.78;-4.54
-7.31;-5.67
-7.5;-6.28
-8;-3.89
-8.86;-6.44
-8.3;-4.88
-9.5;-5.9
-6.62;-4.95
-8.66;-7.08
-10.08;-5.09
-8.2;-6.4
-8.76;-5.22
-8.39;-4.67
-8.05;-4.64
-8.33;-4.01
-7.49;-5.69
-8.37;-5.66
-7.02;-4.06
-9.08;-6.68
-6.9;-5.6
-7.27;-6.97
-8.49;-6.17
-9.46;-4.44
-8.32;-5
-7.84;-5.29
-8.55;-4.05
-8.02;-5.47
-9.45;-5.82
-7.93;-4.82
-7.6;-4.53
-9.06;-3.59
-8.23;-6.75
-7.96;-5
-9.89;-4.79
-7.41;-5.42
-7.86;-4
-8.12;-5.45
-9.9;-4.55
-7.95;-5.12
-8.48;-3.85
-8.69;-6.66
-7.36;-6.12
-8.02;-4.78
-8.3;-4.33
-6.66;-3.7
-8.24;-5.58
-7.25;-6.82
-9.89;-4.06
-6.49;-5.22
-8.43;-4.4
-7.93;-4.1
-7;-5.15
-8.02;-4.78
-8.04;-4.88
-8.86;-4.55
-7.07;-3.64
-8.08;-5.86
-9.66;-4.33
-8.53;-6.18
-7.23;-4.6
-8.08;-3.15
-10.39;-4.74
-10.18;-5.45
-8.71;-5.26
-7.52;-3.87
-10.54;-3.93
-8.03;-6.11
-7.42;-6.52
-7.9;-5.41
-7.72;-5.4
-5.61;-5.87
-6.39;-5.65
-5.69;-4.14
-4.4;-4.22
-3.75;-7.08
-6.47;-3.8
-6.05;-4.72
-3.7;-6.03
-4.71;-4.07
-7.36;-4.33
-3.58;-5.54
-6.36;-5.25
-6.64;-4.39
-6.1;-5.13
-6.05;-4.16
-6.82;-5.1
